0: w = 320, h = 200, r = 60
1: w = 320, h = 200, r = 75
2: w = 320, h = 200, r = 60
3: w = 320, h = 200, r = 75
4: w = 320, h = 240, r = 60
5: w = 320, h = 240, r = 75
6: w = 320, h = 240, r = 60
7: w = 320, h = 240, r = 75
8: w = 400, h = 300, r = 60
9: w = 400, h = 300, r = 75
10: w = 400, h = 300, r = 60
11: w = 400, h = 300, r = 75
12: w = 512, h = 384, r = 60
13: w = 512, h = 384, r = 75
14: w = 512, h = 384, r = 60
15: w = 512, h = 384, r = 75
16: w = 640, h = 400, r = 60
17: w = 640, h = 400, r = 75
18: w = 640, h = 400, r = 60
19: w = 640, h = 400, r = 75
20: w = 640, h = 480, r = 60
21: w = 640, h = 480, r = 72
22: w = 640, h = 480, r = 75
23: w = 640, h = 480, r = 85
24: w = 640, h = 480, r = 90
25: w = 640, h = 480, r = 100
26: w = 640, h = 480, r = 120
27: w = 640, h = 480, r = 160
28: w = 640, h = 480, r = 60
29: w = 640, h = 480, r = 72
30: w = 640, h = 480, r = 75
31: w = 640, h = 480, r = 85
32: w = 640, h = 480, r = 90
33: w = 640, h = 480, r = 100
34: w = 640, h = 480, r = 120
35: w = 640, h = 480, r = 160
36: w = 704, h = 480, r = 60
37: w = 704, h = 480, r = 60
38: w = 720, h = 480, r = 60
39: w = 720, h = 480, r = 60
40: w = 800, h = 600, r = 56
41: w = 800, h = 600, r = 60
42: w = 800, h = 600, r = 70
43: w = 800, h = 600, r = 72
44: w = 800, h = 600, r = 75
45: w = 800, h = 600, r = 85
46: w = 800, h = 600, r = 90
47: w = 800, h = 600, r = 100
48: w = 800, h = 600, r = 120
49: w = 800, h = 600, r = 56
50: w = 800, h = 600, r = 60
51: w = 800, h = 600, r = 70
52: w = 800, h = 600, r = 72
53: w = 800, h = 600, r = 75
54: w = 800, h = 600, r = 85
55: w = 800, h = 600, r = 90
56: w = 800, h = 600, r = 100
57: w = 800, h = 600, r = 120
58: w = 856, h = 480, r = 60
59: w = 856, h = 480, r = 60
60: w = 960, h = 720, r = 60
61: w = 960, h = 720, r = 60
62: w = 1024, h = 768, r = 60
63: w = 1024, h = 768, r = 70
64: w = 1024, h = 768, r = 72
65: w = 1024, h = 768, r = 75
66: w = 1024, h = 768, r = 85
67: w = 1024, h = 768, r = 90
68: w = 1024, h = 768, r = 100
69: w = 1024, h = 768, r = 60
70: w = 1024, h = 768, r = 70
71: w = 1024, h = 768, r = 72
72: w = 1024, h = 768, r = 75
73: w = 1024, h = 768, r = 85
74: w = 1024, h = 768, r = 90
75: w = 1024, h = 768, r = 100
76: w = 1152, h = 864, r = 60
77: w = 1152, h = 864, r = 70
78: w = 1152, h = 864, r = 75
79: w = 1152, h = 864, r = 85
80: w = 1152, h = 864, r = 100
81: w = 1152, h = 864, r = 60
82: w = 1152, h = 864, r = 70
83: w = 1152, h = 864, r = 75
84: w = 1152, h = 864, r = 85
85: w = 1152, h = 864, r = 100
86: w = 1280, h = 720, r = 59
87: w = 1280, h = 720, r = 60
88: w = 1280, h = 720, r = 59
89: w = 1280, h = 720, r = 60
90: w = 1280, h = 768, r = 56
91: w = 1280, h = 768, r = 60
92: w = 1280, h = 768, r = 75
93: w = 1280, h = 768, r = 85
94: w = 1280, h = 768, r = 56
95: w = 1280, h = 768, r = 60
96: w = 1280, h = 768, r = 75
97: w = 1280, h = 768, r = 85
98: w = 1280, h = 1024, r = 60
99: w = 1280, h = 1024, r = 70
100: w = 1280, h = 1024, r = 75
101: w = 1280, h = 1024, r = 85
102: w = 1280, h = 1024, r = 60
103: w = 1280, h = 1024, r = 70
104: w = 1280, h = 1024, r = 75
105: w = 1280, h = 1024, r = 85
106: w = 1600, h = 1200, r = 60
107: w = 1600, h = 1200, r = 70
108: w = 1600, h = 1200, r = 60
